nombre,direccion,telefono,instagram,facebook
Hangarautos s.a.s Medellin,"Cl. 30 # 44-128, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573218310037,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller Vargas,"Cra. 64 #43-31, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+5742607683,https://instagram.com/tallerautoptimos?utm_medium=copy_link,https://www.facebook.com/groups/historiafotograficademedellin/posts/10162912881724384/
Full ejes Medellín,"Cra. 48 # 39-24, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573016760173,,
Mecticenter Taller Automotriz Sede Exposiciones,"Cra. 54 #36-20, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573217929800,https://www.instagram.com/mecticenteroficial/,https://www.facebook.com/Mecticenter
A.J. Service - Mecánica Automotriz - Taller Ruta 4,"Cl. 42C #81 90, Simón Bolívar, Medellín, La América, Medellín, Antioquia",'+5744447703,https://www.instagram.com/ajservicemecanica/?hl=es,
A.J. Service - Mecánica Automotriz - Taller Ruta 4,"Cl. 42C #81 90, Simón Bolívar, Medellín, La América, Medellín, Antioquia",'+5744447703,https://www.instagram.com/ajservicemecanica/?hl=es,
Taller AUTOZONE EXPRESS Colision Y Spa,"Cra. 52 #35-52, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",,,https://www.facebook.com/p/Autozone-Express-Collision-y-Spa-100064629261392/
Taller AUTOZONE EXPRESS Colision Y Spa,"Cra. 52 #35-52, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",,,https://www.facebook.com/p/Autozone-Express-Collision-y-Spa-100064629261392/
Ingenio Mecánico,"Cra. 75 #42-62, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+573008125696,https://www.instagram.com/ingeniomecanicomed/,
Ingenio Mecánico,"Cra. 75 #42-62, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+573008125696,https://www.instagram.com/ingeniomecanicomed/,
VEHIFRENOS,"Cra. 51 #3466, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+576042322098,https://www.instagram.com/vehifrenos_medellin/,https://www.facebook.com/VehifrenosMedellin
VEHIFRENOS,"Cra. 51 #3466, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+576042322098,https://www.instagram.com/vehifrenos_medellin/,https://www.facebook.com/VehifrenosMedellin
